State,2018,2019,2020,2021,2022
AL,1300,2000,2900,4700,8700
AK,500,700,900,1300,2000
AZ,12600,19500,28800,40700,65800
AR,600,900,1300,2400,5100
CA,273500,349700,425300,563100,903600
CO,12500,19200,24700,37000,59900
CT,5000,6900,9000,13300,22000
DE,800,1300,1900,3000,5400
DC,1100,1800,2400,3700,5900
FL,27400,40300,58200,95600,168000
GA,15900,19000,23500,34000,60100
HI,6600,8800,10700,14200,19800
ID,1100,1600,2300,3500,5900
IL,13600,19300,26000,36500,66900
IN,3400,5100,7000,10400,17700
IA,1100,1600,2300,3700,6200
KS,1700,2300,3100,4500,7600
KY,1200,1900,2600,4200,7600
LA,900,1400,2000,3200,5900
ME,800,1300,1900,3000,5000
MD,8400,13200,18000,25600,46100
MA,10300,14100,21000,30500,49400
MI,4200,6600,10600,17500,33100
MN,4900,7700,10400,15000,24300
MS,300,500,800,1300,2400
MO,3500,4900,6700,10000,17900
MT,500,700,900,1600,3300
NE,900,1300,1800,2700,4600
NV,5100,7900,11000,17400,32900
NH,1200,1900,2700,4000,7000
NJ,13400,20200,30400,47800,87000
NM,1300,1900,2600,4200,7100
NY,15500,23000,32600,51900,84700
NC,7300,11600,16200,25200,45600
ND,100,200,200,400,600
OH,6400,10200,14500,21200,34100
OK,3700,3400,3400,7100,16300
OR,13800,18800,22800,30300,47000
PA,8000,12000,17500,26800,47400
RI,700,1100,1600,2500,4300
SC,2000,3000,4400,7400,13500
SD,200,300,400,700,1200
TN,3900,5700,7800,12200,22000
TX,24500,38400,52200,80900,149000
UT,5600,8000,11200,16500,28000
VT,1100,1700,2200,3400,5300
VA,9900,15000,20500,30700,56600
WA,30200,40400,50500,66800,104100
WV,200,400,600,1000,1900
WI,3700,4700,6300,9300,15700
WY,200,200,300,500,800
United States,572600,783600,1018900,1454400,2442300